zipcode,city_name,house_type,prix_m2
1000,BOURG-EN-BRESSE,Appartement,1934.7826086956522
1000,BOURG-EN-BRESSE,Maison,2475.748013090229
1000,SAINT-DENIS-LES-BOURG,Maison,3109.756097560976
1090,FRANCHELEINS,Maison,3634.2918192918196
1090,MONTCEAUX,Maison,3426.9662921348313
1090,MONTMERLE-SUR-SAONE,Appartement,2285.714285714286
1090,MONTMERLE-SUR-SAONE,Maison,3195.1530612244896
1100,APREMONT,Maison,3111.1111111111113
1100,BELLIGNAT,Appartement,3181.818181818182
1100,BELLIGNAT,Maison,2707.1428571428573
1100,GEOVREISSET,Maison,1750.0
1100,MARTIGNAT,Maison,2943.181818181818
1100,OYONNAX,Appartement,1538.4615384615386
1100,OYONNAX,Maison,2003.4134007585335
1110,ARANC,Maison,1666.6666666666667
1110,CHAMPDOR-CORCELLES,Maison,1885.2459016393443
1120,DAGNEUX,Maison,4357.798165137615
1120,LA BOISSE,Maison,3406.5934065934066
1120,MONTLUEL,Appartement,2077.9220779220777
1120,MONTLUEL,Maison,2095.8333333333335
1120,NIEVROZ,Maison,3819.3
1130,ECHALLON,Maison,3160.377358490566
1130,NANTUA,Appartement,1394.4444444444443
1130,NANTUA,Maison,2916.6666666666665
1140,SAINT-DIDIER-SUR-CHALARONNE,Maison,2528.3777777777777
1140,THOISSEY,Appartement,2062.1153846153848
1150,CHAZEY-SUR-AIN,Maison,3958.0
1150,LAGNIEU,Appartement,2006.25
1150,LAGNIEU,Maison,2079.207920792079
1150,LEYMENT,Maison,3055.5555555555557
1150,SAINT-SORLIN-EN-BUGEY,Maison,4272.727272727273
1150,VILLEBOIS,Appartement,2000.0
1150,VILLEBOIS,Maison,1574.6715367965367
1160,DRUILLAT,Maison,3152.601694915254
1160,LA TRANCLIERE,Maison,1760.0
1160,SAINT-MARTIN-DU-MONT,Maison,2145.053475935829
1160,VARAMBON,Maison,1500.0
1170,CESSY,Appartement,2727.2727272727275
1170,CESSY,Maison,5472.649292149292
1170,CHEVRY,Maison,6060.31048951049
1170,CROZET,Appartement,5104.347826086957
1170,CROZET,Maison,4733.759124087592
1170,ECHENEVEX,Appartement,4456.9672131147545
1170,ECHENEVEX,Maison,5337.8378378378375
1170,GEX,Appartement,4337.918660287081
1170,GEX,Maison,3384.0
1170,SEGNY,Appartement,5085.714285714285
1170,SEGNY,Maison,5378.092328497664
1170,VESANCY,Maison,5611.510791366906
1190,BOZ,Maison,2185.897435897436
1190,CHEVROUX,Maison,1807.2289156626507
1190,OZAN,Maison,3125.0
1190,PONT-DE-VAUX,Appartement,2875.675675675676
1190,PONT-DE-VAUX,Maison,2048.1927710843374
1190,REYSSOUZE,Maison,2135.4166666666665
1190,SERMOYER,Maison,1577.6557597489914
1200,INJOUX-GENISSIAT,Maison,2780.9523809523807
1200,LEAZ,Maison,4666.44385026738
1200,VILLES,Maison,3141.025641025641
1210,FERNEY-VOLTAIRE,Appartement,3971.6931216931216
1210,FERNEY-VOLTAIRE,Maison,3858.0246913580245
1210,ORNEX,Appartement,4834.176470588235
1210,ORNEX,Maison,5505.952380952381
1210,VERSONNEX,Appartement,4357.142857142857
1210,VERSONNEX,Maison,6184.583333333333
1220,DIVONNE-LES-BAINS,Appartement,5428.571428571428
1220,DIVONNE-LES-BAINS,Maison,6834.661989795919
1220,SAUVERNY,Maison,6554.621848739495
1230,CONAND,Maison,2172.4137931034484
1230,SAINT-RAMBERT-EN-BUGEY,Appartement,1750.0
1230,TENAY,Maison,2129.310344827586
1240,CERTINES,Maison,3214.285714285714
1240,DOMPIERRE-SUR-VEYLE,Maison,1984.7328244274809
1240,LENT,Maison,2178.6470588235293
1240,MARLIEUX,Maison,3951.048951048951
1240,SAINT-PAUL-DE-VARAX,Maison,2480.0
1250,CEYZERIAT,Maison,2083.3333333333335
1250,JASSERON,Appartement,1994.2028985507247
1250,JASSERON,Maison,2870.3703703703704
1250,JOURNANS,Maison,2255.0
1250,MONTAGNAT,Maison,2804.285908042859
1250,NIVIGNE ET SURAN,Maison,1686.046511627907
1250,SIMANDRE-SUR-SURAN,Maison,1795.4545454545455
1250,VILLEREVERSURE,Maison,1903.0028089887642
1270,BEAUPONT,Maison,2641.304347826087
1270,DOMSURE,Maison,1899.9295278365043
1280,PREVESSIN-MOENS,Appartement,6000.0
1280,PREVESSIN-MOENS,Maison,5245.718275008838
1290,CORMORANCHE-SUR-SAONE,Maison,2981.308411214953
1290,GRIEGES,Maison,2386.3636363636365
1290,SAINT-JEAN-SUR-VEYLE,Maison,3823.098039215686
1300,ARBOYS EN BUGEY,Maison,2386.3636363636365
1300,BELLEY,Appartement,1956.5677966101696
1300,BELLEY,Maison,2555.5555555555557
1300,BRENS,Maison,2368.19
1300,GROSLEE-SAINT-BENOIT,Maison,2173.159663865546
1300,MAGNIEU,Maison,2234.4827586206898
1300,PARVES ET NATTAGES,Maison,2402.5974025974024
1300,VIRIGNIN,Maison,3571.4285714285716
1310,BUELLAS,Maison,2744.68085106383
1310,CURTAFOND,Maison,2127.659574468085
1310,MONTRACOL,Maison,3436.031746031746
1310,POLLIAT,Appartement,2292.5060435132955
1310,POLLIAT,Maison,1799.3607954545455
1310,SAINT-MARTIN-LE-CHATEL,Maison,2704.081632653061
1310,SAINT-REMY,Maison,2483.8709677419356
1320,CHALAMONT,Maison,1453.4883720930231
1320,CHATILLON-LA-PALUD,Maison,2322.5187265917602
1320,VILLETTE-SUR-AIN,Maison,3022.222222222222
1330,AMBERIEUX-EN-DOMBES,Maison,2828.282828282828
1330,LAPEYROUSE,Maison,2374.1496598639455
1330,LE PLANTAY,Maison,3650.0
1330,VILLARS-LES-DOMBES,Appartement,2306.0897435897436
1330,VILLARS-LES-DOMBES,Maison,3306.6666666666665
1340,ATTIGNAT,Maison,2624.6411483253587
1340,FOISSIAT,Maison,1989.1657638136512
1340,JAYAT,Maison,1285.7142857142858
1340,MARSONNAS,Maison,2005.5555555555557
1340,MONTREVEL-EN-BRESSE,Appartement,2177.041499330656
1340,MONTREVEL-EN-BRESSE,Maison,2424.242424242424
1350,ANGLEFORT,Appartement,2300.0
1350,CRESSIN-ROCHEFORT,Maison,1302.0833333333333
1350,CULOZ,Appartement,1792.4528301886792
1350,CULOZ,Maison,1783.7837837837837
1360,BELIGNEUX,Appartement,2193.905472636816
1360,BELIGNEUX,Maison,4308.380952380952
1360,LOYETTES,Appartement,1666.6666666666667
1360,LOYETTES,Maison,1920.0
1370,SAINT-ETIENNE-DU-BOIS,Maison,2163.56990557417
1370,VAL-REVERMONT,Appartement,1311.4754098360656
1370,VAL-REVERMONT,Maison,2173.913043478261
1380,SAINT-ANDRE-DE-BAGE,Maison,2085.449534883721
1380,SAINT-CYR-SUR-MENTHON,Maison,2777.777777777778
1390,CIVRIEUX,Maison,3687.6190476190477
1390,SAINT-ANDRE-DE-CORCY,Maison,3516.5028089887637
1390,TRAMOYES,Appartement,2130.9523809523807
1390,TRAMOYES,Maison,3330.0
1400,CHATILLON-SUR-CHALARONNE,Appartement,2551.0204081632655
1400,CHATILLON-SUR-CHALARONNE,Maison,3409.090909090909
1400,CONDEISSIAT,Appartement,2183.9080459770116
1400,CONDEISSIAT,Maison,1953.125
1400,NEUVILLE-LES-DAMES,Maison,2921.5803278688527
1400,SANDRANS,Maison,2310.454310789881
1410,LELEX,Appartement,1604.697933227345
1420,CHANAY,Maison,2264.1509433962265
1420,SEYSSEL,Appartement,2631.5789473684213
1420,SEYSSEL,Maison,2035.8490566037735
1430,CHEVILLARD,Maison,2540.9836065573772
1430,LANTENAY,Maison,1608.2474226804125
1430,MAILLAT,Maison,2938.823529411765
1450,CERDON,Maison,1300.0
1450,PONCIN,Maison,1875.892857142857
1450,SERRIERES-SUR-AIN,Maison,2378.125
1460,BRION,Maison,3066.6666666666665
1460,NURIEUX-VOLOGNAT,Maison,2650.0
1460,PORT,Maison,2592.5925925925926
1470,BRIORD,Maison,2378.048780487805
1470,SERRIERES-DE-BRIORD,Maison,1957.7922077922076
1480,BEAUREGARD,Maison,3171.078431372549
1480,CHALEINS,Appartement,3109.375
1480,FRANS,Maison,3821.8390804597702
1480,JASSANS-RIOTTIER,Appartement,3194.4444444444443
1480,JASSANS-RIOTTIER,Maison,3083.2
1480,SAVIGNEUX,Maison,3748.181818181818
1480,VILLENEUVE,Maison,2466.6666666666665
1500,AMBERIEU-EN-BUGEY,Appartement,2746.478873239437
1500,AMBERIEU-EN-BUGEY,Maison,3108.910891089109
1500,AMBRONAY,Maison,2720.7108695652173
1500,AMBUTRIX,Maison,3384.6153846153848
1500,BETTANT,Maison,2233.3333333333335
1500,CHATEAU-GAILLARD,Maison,2408.2928918070224
1500,SAINT-DENIS-EN-BUGEY,Appartement,1560.0
1510,ARTEMARE,Maison,2472.5274725274726
1540,PERREX,Maison,2594.5945945945946
1540,SAINT-JULIEN-SUR-VEYLE,Maison,2746.376811594203
1540,VONNAS,Appartement,1732.6732673267327
1540,VONNAS,Maison,2121.212121212121
1550,COLLONGES,Appartement,3905.1555057439055
1550,COLLONGES,Maison,4977.337398373984
1550,FARGES,Maison,3427.536231884058
1550,POUGNY,Appartement,2956.521739130435
1550,POUGNY,Maison,2364.864864864865
1560,CURCIAT-DONGALON,Maison,3865.6716417910447
1560,LESCHEROUX,Maison,2368.034447821682
1560,SAINT-TRIVIER-DE-COURTES,Maison,1718.75
1560,SERVIGNAT,Maison,4344.262295081967
1560,VESCOURS,Maison,2128.5714285714284
1570,FEILLENS,Maison,1875.0
1570,MANZIAT,Maison,2425.945945945946
1580,IZERNORE,Maison,2228.9156626506024
1600,MASSIEUX,Maison,2952.755905511811
1600,MISERIEUX,Maison,2954.5454545454545
1600,PARCIEUX,Maison,2763.736263736264
1600,REYRIEUX,Maison,3950.0
1600,SAINT-BERNARD,Maison,4912.2807017543855
1600,SAINT-DIDIER-DE-FORMANS,Maison,2166.6666666666665
1600,SAINTE-EUPHEMIE,Maison,3920.353982300885
1600,TREVOUX,Appartement,3177.3504273504277
1600,TREVOUX,Maison,4500.0
1630,PERON,Appartement,4777.777777777777
1630,PERON,Maison,5434.391891891892
1630,SERGY,Maison,4981.810685191664
1640,JUJURIEUX,Appartement,2177.879901960784
1640,JUJURIEUX,Maison,2722.222222222222
1660,CHAVEYRIAT,Maison,2947.6190476190477
1660,MEZERIAT,Maison,3973.484848484848
1660,VANDEINS,Maison,2403.846153846154
1680,LOMPNAS,Maison,2246.376811594203
1700,BEYNOST,Maison,4639.026082130966
1700,MIRIBEL,Appartement,2545.4545454545455
1700,MIRIBEL,Maison,4574.468085106383
1700,NEYRON,Appartement,2469.230769230769
1700,NEYRON,Maison,1969.6969696969697
1700,SAINT-MAURICE-DE-BEYNOST,Appartement,3561.6438356164385
1700,SAINT-MAURICE-DE-BEYNOST,Maison,4010.204081632653
1710,THOIRY,Appartement,4679.009287925696
1710,THOIRY,Maison,5411.764705882353
1750,REPLONGES,Maison,2594.791666666667
1750,SAINT-LAURENT-SUR-SAONE,Appartement,1872.7272727272727
1800,CHARNOZ-SUR-AIN,Maison,4886.363636363636
1800,FARAMANS,Maison,3772.7272727272725
1800,MEXIMIEUX,Appartement,2377.840909090909
1800,MEXIMIEUX,Maison,3535.3535353535353
1800,PEROUGES,Appartement,2623.3766233766232
1800,RIGNIEUX-LE-FRANC,Maison,3035.6521739130435
1800,SAINT-JEAN-DE-NIOST,Maison,4194.2338709677415
1800,SAINT-MAURICE-DE-GOURDANS,Maison,3103.448275862069
1800,VILLIEU-LOYES-MOLLON,Appartement,3229.6015180265654
1800,VILLIEU-LOYES-MOLLON,Maison,2734.4553529686773
1960,PERONNAS,Maison,2081.3953488372094
1960,SAINT-ANDRE-SUR-VIEUX-JONC,Maison,1904.7619047619048
1960,SERVAS,Maison,1925.9259259259259
1990,RELEVANT,Maison,3245.6140350877195
1990,SAINT-TRIVIER-SUR-MOIGNANS,Maison,2490.0
75001,PARIS,Appartement,12380.0
75002,PARIS,Appartement,11200.0
75003,PARIS,Appartement,17469.05982905983
75004,PARIS,Appartement,12096.666666666666
75008,PARIS,Appartement,11340.574879227053
75009,PARIS,Appartement,11504.0
75010,PARIS,Appartement,11272.798742138366
75017,PARIS,Appartement,10875.959079283886
75018,PARIS,Appartement,9996.606334841628
75019,PARIS,Appartement,8741.87782051282
75019,PARIS,Maison,23888.88888888889
75020,PARIS,Appartement,10652.631578947368
